
instructor.o:     file format elf64-x86-64
architecture: i386:x86-64, flags 0x00000011:
HAS_RELOC, HAS_SYMS
start address 0x0000000000000000

Contents of section .group:
 0000 01000000 d2000000 d4000000           ............    
Contents of section .group:
 0000 01000000 1e020000                    ........        
Contents of section .group:
 0000 01000000 d6000000 d8000000           ............    
Contents of section .group:
 0000 01000000 20020000                    .... ...        
Contents of section .group:
 0000 01000000 22020000                    ...."...        
Contents of section .group:
 0000 01000000 da000000                    ........        
Contents of section .group:
 0000 01000000 db000000                    ........        
Contents of section .group:
 0000 01000000 dc000000                    ........        
Contents of section .group:
 0000 01000000 de000000                    ........        
Contents of section .group:
 0000 01000000 df000000                    ........        
Contents of section .group:
 0000 01000000 e1000000                    ........        
Contents of section .group:
 0000 01000000 e3000000                    ........        
Contents of section .group:
 0000 01000000 e5000000                    ........        
Contents of section .group:
 0000 01000000 e7000000                    ........        
Contents of section .group:
 0000 01000000 e9000000                    ........        
Contents of section .group:
 0000 01000000 eb000000                    ........        
Contents of section .group:
 0000 01000000 ed000000                    ........        
Contents of section .group:
 0000 01000000 ef000000                    ........        
Contents of section .group:
 0000 01000000 f1000000                    ........        
Contents of section .group:
 0000 01000000 f3000000                    ........        
Contents of section .group:
 0000 01000000 f5000000                    ........        
Contents of section .group:
 0000 01000000 f7000000                    ........        
Contents of section .group:
 0000 01000000 f9000000                    ........        
Contents of section .group:
 0000 01000000 fb000000                    ........        
Contents of section .group:
 0000 01000000 fd000000                    ........        
Contents of section .group:
 0000 01000000 ff000000                    ........        
Contents of section .group:
 0000 01000000 01010000                    ........        
Contents of section .group:
 0000 01000000 03010000                    ........        
Contents of section .group:
 0000 01000000 04010000                    ........        
Contents of section .group:
 0000 01000000 06010000                    ........        
Contents of section .group:
 0000 01000000 08010000                    ........        
Contents of section .group:
 0000 01000000 0a010000                    ........        
Contents of section .group:
 0000 01000000 0b010000                    ........        
Contents of section .group:
 0000 01000000 0c010000                    ........        
Contents of section .group:
 0000 01000000 0e010000                    ........        
Contents of section .group:
 0000 01000000 10010000                    ........        
Contents of section .group:
 0000 01000000 12010000                    ........        
Contents of section .group:
 0000 01000000 14010000                    ........        
Contents of section .group:
 0000 01000000 15010000                    ........        
Contents of section .group:
 0000 01000000 17010000                    ........        
Contents of section .group:
 0000 01000000 18010000                    ........        
